"refPalme","number","RefID","Journal","Research.area","Title","Population","Animal.Group","RC.","immunoassay","Parallelism.reporting","Parallism.reporting.comments","Graph","Graph.type","Graph.alignment","Graph.comments","Stats","Stats.type","Stats.reported","Other.stats.info.to.extract.","DilutionLin","If.yes..what.is.reported.","Trouble.shooting","Solutions","Stats.group","Stats.group.KF","Stats.quality","Stats.notes","Interpretation"
"1806",1,"https://doi.org/10.3390/ani12010075","Animals","Behavioral & Welfare Science","Non-Invasive Assessment of the Seasonal Stress Response to Veterinary Procedures and Transportation of Zoo-Housed Lesser Anteater (Tamandua tetradactyla)","Wildlife","Xenarthra","-","EIA","Prev","Refer to this paper:Eguizábal, G.V.; Palme, R.; Villarreal, D.; Dal Borgo, C.; Di Rienzo, J.A.; Busso, J.M. Assessment of adrenocortical activity and behaviour of the collared anteater (Tamandua tetradactyla) in response to food-based environmental enrichment. Zoo Biol. 2013, 32, 632–640. ","","","","","","","","","","","",NA,"No stats","","","",""
"1801",2,"https://doi.org/10.1007/s00114-022-01792-y","The Science of Nature","Reproduction & Physiology","Temporal stability of fecal cortisol metabolites in mountain‑dwelling ungulates","Wildlife","Artiodactyla","-","EIA","Prev","Anderwald P, Campell Andri S, Palme R (2021) Reflections of ecological differences? Stress responses of sympatric alpine chamois and red deer to weather;  Huber S, Palme R, Arnold W (2003) Effects of season, sex, and sample collection on concentrations of fecal cortisol metabolites in red deer (Cervus elaphus). Gen Comp Endocrinol 130:48–54","","","","","","","","","","","",NA,"No stats","","","",""
"1842",3,"https://onlinelibrary.wiley.com/doi/epdf/10.1111/mms.12877","Marine Mammal sciecne","Ecology & Conservation","Stressed and slim or relaxed and chubby? A simultaneous assessment of gray whale body condition and hormone variability.","Wildlife","Cetacea","SerDil + added standard","EIA","Prev","Lemos, L. S. et al. Assessment of fecal steroid and thyroid hormone metabolites in eastern north Pacific gray whales. Conserv.Physiol. 8, coaa110 (2020).","","","","","","","","","","","",NA,"No stats","","","",""
"1796",4,"https://doi.org/10.1007/s00442-021-05078-4","Oecologia","Ecology & Conservation","Potential endocrine correlation with exposure to domoic acid in Southern Right Whale (Eubalaena australis) at the Península Valdés breeding ground","Wildlife","Cetacea","SerDil ","EIA","Yes","","Y","sigmoid curve (x-axis log transformed)","Center at 50% binding","","Y","F-test","F, DFn, Dfd, P","p > 0.05 = slopes are not significantly different","N","","N",NA,"Equality of slopes","Equality of slopes","Good","An F test was employed to assess differences between the linear portion of slopes of the resulting binding curve for serially diluted SRW fecal pool and each assay’s standard curve. Serially diluted SRW fecal SPE extractions yielded displacement curves parallel to the respective standard curves, with no significant differences in slope for either the corticosterone (F1,9 = 0.42; P = 0.53) or cortisol (F1,9 = 0.51; P = 0.49) assays (Fig. 2, top panels; A and B).",""" considered strong evidence that the hormone is in fact present in the sample"""
"1843",5,"https://www.nature.com/articles/s41598-022-14510-5","Nature Scientific reports","Ecology & Conservation","Effects of vessel traffic and ocean
noise on gray whale stress
hormones","Wildlife","Cetacea","-","EIA","Prev","Lemos, L. S. et al. Assessment of fecal steroid and thyroid hormone metabolites in eastern north Pacific gray whales. Conserv.Physiol. 8, coaa110 (2020).","","","","","","","","","","","",NA,"No stats","","","",""
"1841",6,"https://doi.org/10.3390/ani12060672","Animals","Reproduction & Physiology","The adrenal cortisol response to increasing ambient temperature in polar bears (Ursus maritimus).","Wildlife","Carnivora","SerDil + added standard","EIA","Yes","They reported a table with the concentrations at the various dilution. Table S2.","Y","Table","","Table S2","N","","","","N","","",NA,"No stats","","","",""
"1804",7,"https://doi.org/10.3390/jzbg3030026","Journal of Zoological and Botanical Gardens,","Behavioral & Welfare Science","Comparing Space Use and Fecal Glucocorticoid Concentrations during and after the COVID-19 Closure to Investigate Visitor Effects in Multiple Species","Wildlife","Artiodactyla/Carnivora","-","RIA","Prev","White, B.C.; Kozlowski, C.; Taylor, S.R.; Franklin, J.A.; Burns, R. Faecal Glucocorticoid Metabolite Concentrations during ACTHChallenge Tests in Captive Grizzly Bears (Ursus arctos horribilus) and Polar Bears (Ursus maritimus). J. Zoo Aquar. Res. 2015,3, 59–62. AND Kozlowski, C.P.; Bauman, K.L.; Clawitter, H.L.; Thier, T.; Fischer, M.; Powell, D.M. Noninvasive Monitoring of Steroid HormoneProduction and Activity of Zoo-Housed Banteng (Bos javanicus). In review.","","","","","","","","","","","",NA,"No stats","","","",""
"1872",8,"https://doi.org/10.1093/conphys/coac009","Conservation Physiology","Ecology & Conservation","Physiological acclimation of elk during population restoration in the Missouri Ozarks, USA","Wildlife","Artiodactyla","-","RIA","Prev","Millspaugh, J. J., Woods, R. J., Hunt, K. E., Raedeke, K. J., Brundige, G. C., Washburn, B. E., & Wasser, S. K. (2001). Fecal glucocorticoid assays and the physiological stress response in elk. Wildlife Society Bulletin, 899-907.","","","","","","","","","","","",NA,"No stats","","","",""
"1862",9,"https://doi.org/10.1038/s41598-022-25733-x","Scientific Reports","Ecology & Conservation","Assessing the drivers of gut microbiome composition in wild redfronted lemurs via longitudinal metacommunity analysis.","Wildlife","Primates","-","EIA","Prev","Ostner, J., Kappeler, P. & Heistermann, M. Androgen and glucocorticoid levels reflect seasonally occurring social challenges in male redfronted lemurs (Eulemur fulvus rufus). Behav. Ecol. Sociobiol. 62, 627–638 (2008).","","","","","","","","","","","",NA,"No stats","","","",""
"1814",10,"https://doi.org/10.1016/j.yhbeh.2022.105108","Hormones and Behavior","Reproduction & Physiology","Integrating the female masculinization and challenge hypotheses: Female dominance, male deference, and seasonal hormone fluctuations in adult blue-eyed black lemurs (Eulemur flavifrons)","Wildlife","Primates","SerDil ","RIA","Prev","Validated for ring-tailed lemurs:  Starling, A. P., Charpentier, M. J., Fitzpatrick, C., Scordato, E. S., & Drea, C. M. (2010). Seasonality, sociality, and reproduction: long-term stressors of ring-tailed lemurs (Lemur catta). Hormones and Behavior, 57(1), 76-85., and Validated in other mammalian species: Wasser, S.K., Hunt, K.E., Brown, J.L., Cooper, K., Crockett, C.M., Bechert, U., Monfort, S.L., 2000. A generalized fecal glucocorticoid assay for use in a diverse array of nondomestic mammalian and avian species. Gen. Comp. Endocrinol. 120 (3), 260–275.","","","","","","","","","","","",NA,"No stats","","","",""
